
2024/09/27 (23:14:07) | ===> btop++ v.1.4.0
2024/09/27 (23:14:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/27 (23:14:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (10:25:48) | ===> btop++ v.1.4.0
2024/09/28 (10:25:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/28 (10:25:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (11:29:17) | ===> btop++ v.1.4.0
2024/09/28 (11:29:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/28 (11:29:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (12:38:18) | ===> btop++ v.1.4.0
2024/09/28 (12:38:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/28 (12:38:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (15:11:49) | ===> btop++ v.1.4.0
2024/09/28 (15:11:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/28 (15:11:49) | WARNING: Intel GPU: Failed to initialize PMU
